"group_id","group_name","created_at","updated_at","deleted_at"
2,INSTRUCTOR,2024-09-28 22:50:49.962 +0700,2024-09-28 22:50:49.962 +0700,
1,STUDENT,2024-09-28 22:50:58.462 +0700,2024-09-28 22:50:58.462 +0700,
